Time,Potential,J_0,J_1,J_2
2.72,-2.799999999999998,-0.8883813070133328,-0.8686604425311089,-0.8785348050296307
2.73,-2.7,-0.8671411075629294,-0.8470488162711263,-0.8580633644014597
2.74,-2.599999999999998,-0.8441142793744802,-0.823644039221108,-0.8359846826642752
2.75,-2.5,-0.8190330439247191,-0.7981761307455599,-0.8113228282891214
2.7600000000000002,-2.3999999999999977,-0.7918456485494971,-0.7707236115820706,-0.7847377983853221
2.77,-2.3,-0.7626570640131831,-0.7410876131616533,-0.7562258141115308
2.7800000000000002,-2.1999999999999975,-0.7308761165477335,-0.7091519916430116,-0.7252819421701133
2.79,-2.0999999999999996,-0.6969435093924403,-0.6751018990762532,-0.6918619181960821
2.8000000000000003,-1.9999999999999964,-0.6605416545644403,-0.6386495148763061,-0.6567928194999695
2.81,-1.8999999999999986,-0.6218213210813701,-0.5998205975629389,-0.6188176330178976
2.82,-1.8000000000000007,-0.5804718704894185,-0.5587210508529097,-0.578434472437948
2.83,-1.6999999999999993,-0.5369608586188406,-0.5154511043801904,-0.5357288219965994
2.84,-1.6000000000000014,-0.4909172726329416,-0.46969258901663125,-0.4907593671232462
2.85,-1.5,-0.44265645439736545,-0.42192388069815934,-0.44286162476055324
2.86,-1.4000000000000021,-0.3921891963109374,-0.371792248217389,-0.3937187255360186
2.87,-1.299999999999999,-0.3395134791499004,-0.3200352218700573,-0.34208948467858136
2.88,-1.200000000000001,-0.2847110035363585,-0.26640672772191465,-0.28735585627146065
2.89,-1.0999999999999979,-0.2284130451735109,-0.21093132317764685,-0.23176295473240316
2.9,-1.0,-0.1702063176780939,-0.15431302081560716,-0.17423129634698853
2.91,-0.8999999999999986,-0.11061396149898428,-0.0965714405184599,-0.11447129520742294
2.92,-0.8000000000000007,-0.04961644553804945,-0.03776383566128061,-0.054586867492616875
2.93,-0.6999999999999993,0.01201503958691319,0.02147740689724742,0.005387284577068385
2.94,-0.6000000000000014,0.07421349605647265,0.08089425519574434,0.0690711159932107
2.95,-0.4999999999999982,0.13681959738369187,0.1402005119180103,0.12994080371572636
2.96,-0.40000000000000036,0.19919497498631245,0.1990717876542476,0.1912929303762212
2.97,-0.29999999999999716,0.2605846477090381,0.2570340698403015,0.252704535407247
2.98,-0.1999999999999993,0.32098862214479595,0.313705641485285,0.3103641652269289
2.99,-0.09999999999999787,0.37966443796176463,0.36859497521072626,0.3689784813905135
3.0,0.0,0.4361118479864672,0.42178434901870787,0.42448503139894456
3.0100000000000002,0.10000000000000142,0.48983401735313237,0.47216638643294573,0.4773301985114813
3.02,0.1999999999999993,0.5403782839421183,0.5197149845771492,0.5259236393030733
3.0300000000000002,0.3000000000000025,0.5874823089689016,0.564390613231808,0.5710723353549838
